	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
162	[1.7687405347824097, 1.7432430982589722]	[0, 1.2567569017410278]	[0.0, 0.9340758934083482]	1	2.0	1	0.4670379467041741
163	[2.3435146808624268, 1.7039316892623901]	[0, 1.2960683107376099]	[0.0, 0.9123435553769781]	1	2.0	1	0.45617177768848904
164	[1.6345245838165283, 1.7270398139953613]	[1.3654754161834717, 0]	[0.8664277201655182, 0.0]	1	2.0	1	0.4332138600827591
165	[1.065523624420166, 0.8271879553794861]	[0, 2.172812044620514]	[0.0, -0.3754880920069503]	1	2.0	1	-0.18774404600347516
166	[1.6617043018341064, 1.269115924835205]	[0, 1.730884075164795]	[0.0, 0.4658084686705024]	1	2.0	1	0.2329042343352512
167	[2.3397436141967773, 1.7808332443237305]	[0, 1.2191667556762695]	[0.0, 0.9519659332063384]	1	2.0	1	0.4759829666031692
168	[1.6398279666900635, 1.702763557434082]	[1.3601720333099365, 0]	[0.870276106421386, 0.0]	1	2.0	1	0.435138053210693
169	[1.5806584358215332, 1.6616437435150146]	[1.4193415641784668, 0]	[0.8241526525523568, 0.0]	1	2.0	1	0.4120763262761784
170	[1.6619598865509033, 1.7414360046386719]	[1.3380401134490967, 0]	[0.8857288816993218, 0.0]	1	2.0	1	0.4428644408496609
171	[1.6320244073867798, 1.7801847457885742]	[1.3679755926132202, 0]	[0.8645939632409494, 0.0]	1	2.0	1	0.4322969816204747
172	[1.606181025505066, 1.8018989562988281]	[1.393818974494934, 0]	[0.8449066153277585, 0.0]	1	2.0	1	0.42245330766387923
173	[1.6927844285964966, 1.8072847127914429]	[1.3072155714035034, 0]	[0.9056185926872189, 0.0]	1	2.0	1	0.45280929634360945
174	[1.7405202388763428, 1.7746566534042358]	[1.2594797611236572, 0]	[0.9326702535672098, 0.0]	1	2.0	1	0.4663351267836049
175	[1.7205034494400024, 1.6800228357315063]	[0, 1.3199771642684937]	[0.0, 0.8976146143466934]	1	2.0	1	0.4488073071733467
176	[1.6512709856033325, 1.6946961879730225]	[1.3487290143966675, 0]	[0.8783880745179289, 0.0]	1	2.0	1	0.43919403725896444
177	[1.0863065719604492, 1.9555819034576416]	[1.9136934280395508, 0]	[0.16516431955733424, 0.0]	1	2.0	1	0.08258215977866712
178	[2.2305707931518555, 1.2196520566940308]	[0, 1.7803479433059692]	[0.0, 0.3910570873781438]	1	2.0	1	0.1955285436890719
179	[1.6760504245758057, 1.7421211004257202]	[1.3239495754241943, 0]	[0.8950566725824842, 0.0]	1	2.0	1	0.4475283362912421
